Refdate,Link_Apto,Endereco,Bairro,Valor,Andares,Tamanho (m2),Valor (m2),Quartos,Suites,Garagem,Banheiros,Varanda,Mobiliado,Portaria,Metro
17/04/2023,https://loft.com.br/imovel/apartamento-rua-doutor-homem-de-melo-perdizes-sao-paulo-3-quartos-137m2/10ulpt0,Condomínio maria magdalena - Rua Doutor Homem de Melo - Perdizes - São Paulo - SP,Perdizes,850000,3º andar,137,6204,3,0,0,2,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-camillo-nader-morumbi-sao-paulo-4-quartos-295m2/10waezc,Condomínio . Marquês de Paranaguá - Rua Camillo Nader - Morumbi - São Paulo - SP,Morumbi,2300000,3º andar,295,7796,4,2,4,3,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-lourenco-franco-do-prado-itaim-paulista-sao-paulo-2-quartos-43m2/10x73o2,Condomínio Certto Itaim Paulista  -  Condominio Residencial Certto Metais - Rua Lourenço Franco do Prado - Itaim Paulista - São Paulo - SP,Itaim Paulista,176808,3º andar,43,4111,2,0,1,1,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-diana-perdizes-sao-paulo-3-quartos-73m2/10xvysq,Condomínio Luiz Carnassale - Rua Diana - Perdizes - São Paulo - SP,Perdizes,650000,4º andar em diante,73,8904,3,0,1,2,0,Sim,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-cangaiba-cangaiba-sao-paulo-2-quartos-33m2/10z92my,Condomínio Metrocasa Cangaiba - Avenida Cangaíba - Cangaíba - São Paulo - SP,Cangaíba,276000,3º andar,33,8363,2,0,0,1,0,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-rubens-fraga-de-toledo-arruda-cangaiba-sao-paulo-3-quartos-63m2/111eb9c,Condomínio Edificio Vista Bela Penha - Rua Rubens Fraga de Toledo Arruda - Cangaíba - São Paulo - SP,Cangaíba,350000,3º andar,63,5555,3,1,1,2,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-paulista-sao-paulo-2-quartos-96m2/115j08d,Condomínio Edificio Jau - Alameda Jaú - Jardim Paulista - São Paulo - SP,Jardim Paulista,1150000,4º andar em diante,96,11979,2,1,2,1,0,Não,Sem descrição,478
17/04/2023,https://loft.com.br/imovel/apartamento-do-rio-bonito-parque-interlagos-sao-paulo-2-quartos-57m2/wkuxbc,Condomínio Residencial Interlagos - Avenida do Rio Bonito - Parque Interlagos - São Paulo - SP,Parque Interlagos,350000,Sem info,57,6140,2,0,1,1,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-jose-abrantes-santo-amaro-sao-paulo-2-quartos-78m2/tu2stp,Condomínio Edificio Anny - Rua José Abrantes - Santo Amaro - São Paulo - SP,Santo Amaro,450000,3º andar,78,5769,2,0,1,1,0,Não,Sem descrição,838
17/04/2023,https://loft.com.br/imovel/apartamento-doutor-ubaldo-franco-caiubi-cidade-ademar-sao-paulo-3-quartos-74m2/lp7pjl,Condomínio Edificio San Marino - Rua Doutor Ubaldo Franco Caiubi - Cidade Ademar - São Paulo - SP,Cidade Ademar,569600,3º andar,74,7697,3,1,2,3,1,Não,24h,100000000
