Link_Apto;Endereco;Bairro;Valor_RS;Andares;Tamanho_m2;Valor_RS/m2;Quartos;Suites;Garagem;Banheiros;Varanda;Mobiliado;Portaria;Metro;id;Refdate;Lat;Long
https://loft.com.br/imovel/apartamento-avenida-angelica-campos-elisios-sao-paulo-2-quartos-70m2/16rzh6z;Condomínio Edificio Araucaria - Avenida Angélica - Campos Elísios - São Paulo - SP;Campos Elísios;450000;4º andar em diante;70;6428;2;0;0;2;0;Não;Sem descrição;276;12472;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-angelica-higienopolis-sao-paulo-3-quartos-208m2/f4y5yn;Condomínio Edificio Basileia - Avenida Angélica - Higienópolis - São Paulo - SP;Higienópolis;1500000;4º andar em diante;208;7211;3;0;2;3;0;Não;Sem descrição;703;12473;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-angelica-santa-cecilia-sao-paulo-3-quartos-188m2/1gzrjzr;Condomínio Edificio Rialma - Avenida Angélica - Santa Cecília - São Paulo - SP;Santa Cecília;1300000;4º andar em diante;188;6914;3;1;2;2;0;Não;Sem descrição;629;12474;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-antonio-de-souza-noschese-jaguare-sao-paulo-3-quartos-62m2/18nj6k1;Condomínio Conjunto Residencial Parque Dos Eucaliptos - Avenida Antônio de Souza Noschese - Jaguaré - São Paulo - SP;Jaguaré;350000;4º andar em diante;62;5645;3;0;1;1;1;Não;Sem descrição;100000000;12475;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-aparecida-do-rio-negro-pirituba-sao-paulo-2-quartos-44m2/zrbh54;Condomínio Spazio Alto Do Mirante - Avenida Aparecida do Rio Negro - Pirituba - São Paulo - SP;Pirituba;350000;4º andar em diante;44;7954;2;0;1;1;0;Não;24h;100000000;12476;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-aricanduva-carrao-sao-paulo-2-quartos-69m2/qhzh5;Avenida Aricanduva - Carrão - São Paulo - SP;Carrão;330000;3º andar;69;4782;2;0;2;1;1;Não;Sem descrição;100000000;12477;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-barao-do-rego-barros-campo-belo-sao-paulo-3-quartos-90m2/1oibawq;Condomínio Edificio Das Tulipas - Avenida Barão do Rego Barros - Campo Belo - São Paulo - SP;Campo Belo;650000;Sem info;90;7222;3;0;1;1;0;Não;Sem descrição;100000000;12478;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-brigadeiro-luis-antonio-jardim-paulista-sao-paulo-4-quartos-104m2/1fo60kk;Condomínio Edificio Manaca - Avenida Brigadeiro Luís Antônio - Jardim Paulista - São Paulo - SP;Jardim Paulista;1278700;3º andar;104;12295;4;2;1;4;0;Sim;Sem descrição;678;12479;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-brigadeiro-luis-antonio-republica-sao-paulo-2-quartos-65m2/17cqaq5;Condomínio Edificio Justica E Paz - Avenida Brigadeiro Luís Antônio - 551 - Apto. 122 - República - São Paulo - SP;República;420000;4º andar em diante;65;6461;2;0;0;1;0;Não;Sem descrição;330;12480;2023-04-17T00:00;;
https://loft.com.br/imovel/apartamento-avenida-carioca-ipiranga-sao-paulo-2-quartos-52m2/134johq;Condomínio Vila Nova Ipiranga - Avenida Carioca - Ipiranga - São Paulo - SP;Ipiranga;360000;4º andar em diante;52;6923;2;0;1;1;1;Não;Sem descrição;994;12481;2023-04-17T00:00;;
