Refdate,Link_Apto,Endereco,Bairro,Valor,Informacoes
28/08/2023,https://loft.com.br/imovel/apartamento-rua-getulio-soares-da-rocha-brooklin-sao-paulo-3-quartos-125m2/1aamwm0,"['Apartamento à venda em Brooklin com 125 m²', ' 3 quartos', ' 3 suítes', ' 2 vagasRua Getúlio Soares da Rocha', ' Brooklin', ' São Paulo-SP']",Brooklin,R$ 1.908.000,"['Apartamento7º andar ou acima', '125 m²R$ 15.264 /m²', '3 quartos3 suítes', '2 vagas', '3 Banheiros', 'Varanda', 'Portaria24h', 'Metrô próximoestação a 322m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-sao-leotelio-vila-medeiros-sao-paulo-3-quartos-223m2/74ltpy,"['Casa à venda em Vila Medeiros com 223 m²', ' 3 quartos', ' 2 suítes', ' 3 vagasRua São Leotélio', ' Vila Medeiros', ' São Paulo-SP']",VilaMedeiros,R$ 900.000,"['1 andar-', '223 m²R$ 4.035 /m²', '3 quartos2 suítes', '4 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-sao-mauro-casa-verde-sao-paulo-3-quartos-266m2/1e8drxl,"['Casa à venda em Casa Verde com 266 m²', ' 3 quartos', ' 3 suítes', ' 6 vagasRua São Mauro', ' Casa Verde', ' São Paulo-SP']",CasaVerde,R$ 2.200.000,"['1 andar-', '266 m²R$ 8.270 /m²', '3 quartos3 suítes', '5 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-rua-sao-carlos-do-pinhal-bela-vista-sao-paulo-1-quarto-31m2/mqmjoo,"['Apartamento à venda em Bela Vista com 31 m²', ' 1 quarto', ' 1 suíte', ' 1 vagaCondomínio Flat Paulista', ' Rua São Carlos do Pinhal', ' Bela Vista', ' São Paulo-SP']",BelaVista,R$ 420.000,"['Apartamento7º andar ou acima', '31 m²R$ 13.548 /m²', '1 quarto1 suíte', '1 vaga', '1 Banheiro', 'Metrô próximoestação a 473m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-rua-joao-bizarro-da-nave-agua-rasa-sao-paulo-2-quartos-59m2/kmlzzl,"['Apartamento à venda em Água Rasa com 59 m²', ' 2 quartos', ' 1 vagaCondomínio Edificio Karen', ' Rua João Bizarro da Nave', ' Água Rasa', ' São Paulo-SP']",ÁguaRasa,R$ 298.000,"['Apartamento7º andar ou acima', '59 m²R$ 5.050 /m²', '2 quartossem suíte', '1 vaga', '1 Banheiro', 'Portaria24h', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-lenize-mazzei-tremembe-sao-paulo-3-quartos-192m2/19r3qvc,"['Casa à venda em Tremembé com 192 m²', ' 3 quartos', ' 1 suíte', ' 5 vagasRua Lenize Mazzei', ' Tremembé', ' São Paulo-SP']",Tremembé,R$ 760.000,"['1 andar-', '192 m²R$ 3.958 /m²', '3 quartos1 suíte', '3 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-padre-joao-gualberto-casa-verde-sao-paulo-3-quartos-308m2/1bc3vye,"['Casa à venda em Casa Verde com 308 m²', ' 3 quartos', ' 2 suítes', ' 4 vagasRua Padre João Gualberto', ' Casa Verde', ' São Paulo-SP']",CasaVerde,R$ 850.000,"['1 andar-', '308 m²R$ 2.759 /m²', '3 quartos2 suítes', '4 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/apartamento-rua-almirante-marques-de-leao-bela-vista-sao-paulo-1-quarto-38m2/hclfco,"['Apartamento à venda em Bela Vista com 38 m²', ' 1 quarto', ' 1 suíte', ' 1 vagaCondomínio Edificio Orpheo', ' Rua Almirante Marques de Leão', ' Bela Vista', ' São Paulo-SP']",BelaVista,R$ 540.000,"['38 m²R$ 14.210 /m²', '1 quarto1 suíte', '1 vaga', '1 Banheiro', 'Metrô próximoestação a 703m', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-antonieta-altenfelder-tremembe-sao-paulo-3-quartos-300m2/1nna1id,"['Casa à venda em Tremembé com 300 m²', ' 3 quartos', ' 3 suítes', ' 8 vagasRua Antonieta Altenfelder', ' Tremembé', ' São Paulo-SP']",Tremembé,R$ 950.000,"['1 andar-', '300 m²R$ 3.166 /m²', '3 quartos3 suítes', '6 Banheiros', 'Mobiliado']"
28/08/2023,https://loft.com.br/imovel/casa-rua-doutor-jose-zamba-casa-verde-sao-paulo-5-quartos-300m2/17yce1b,"['Casa à venda em Casa Verde com 300 m²', ' 5 quartos', ' 2 suítes', ' 2 vagasRua Doutor José Zamba', ' Casa Verde', ' São Paulo-SP']",CasaVerde,R$ 1.230.000,"['1 andar-', '300 m²R$ 4.100 /m²', '5 quartos2 suítes', '4 Banheiros', 'Mobiliado']"
